#{"t_start": 1582659054.1616294, "env_id": "nailbot-v0"}
r,l,t
24.170951,11,1103.136739
23.20811,11,1104.090791
19.883985,11,1105.193325
15.792435,11,1106.173542
20.364088,11,1107.161939
13.285523,11,1108.161568
31.944025,11,1109.367766
20.943452,11,1110.370475
17.572774,11,1111.414735
12.410307,11,1112.392777
21.857533,11,1113.421376
16.844032,11,1114.373761
19.843387,11,1115.348597
31.615758,11,1116.365491
12.21475,11,1117.3136
12.200528,11,1118.248355
11.172116,11,1119.169094
21.992293,11,1120.176675
29.429256,11,1121.165318
17.961263,11,1122.146244
20.554975,11,1123.161563
25.599653,11,1124.164714
13.451343,11,1125.335525
23.084486,11,1126.341322
12.262721,11,1127.171817
15.273856,11,1128.222089
20.012136,11,1129.268751
15.486432,11,1130.229091
26.525744,11,1131.392205
19.501757,11,1132.335084
17.633141,11,1133.346932
14.082025,11,1134.301222
17.157894,11,1135.24967
37.616916,11,1136.32202
12.629391,11,1137.306248
32.141147,11,1138.318019
26.453223,11,1139.303031
32.062357,11,1140.317572
30.374505,11,1141.436683
23.297434,11,1142.409983
13.773265,11,1143.55217
16.369648,11,1144.551441
22.82495,11,1145.517867
22.258714,11,1146.566272
10.929287,11,1147.531912
43.655005,11,1148.620976
17.120385,11,1149.751361
22.093411,11,1150.833062
25.486085,11,1151.852541
29.909332,11,1152.864609
28.571594,11,1153.77834
12.005234,11,1154.7053
39.408053,11,1155.668468
12.267013,11,1156.577861
19.788096,11,1157.537638
11.576422,11,1158.509356
18.573196,11,1159.489757
16.199029,11,1160.470932
10.746967,11,1161.417639
